smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.migration.online: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.restart.stressed: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.restart.unplugged_ports: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.interrupted_transfer.stop_cont.short: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.interrupted_transfer.stop_cont.long: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.interrupted_transfer.hibernate.short: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.interrupted_transfer.hibernate.long: FAIL (0.57 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.rw_notconnect_guest: FAIL (10.52 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.loopback.virtserialport.serialport_small: FAIL (0.53 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.loopback.virtserialport.serialport_big: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.loopback.virtconsole.console_small: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.loopback.virtconsole.console_big: FAIL (0.53 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.loopback.virtmixed.mixed_small: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.loopback.virtmixed.mixed_big: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.boot_nr0: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.unit_test_kvmctl.access: FAIL (10.25 s)
smp2.virtio_net.CustomGuestLinux.unit_test_kvmctl.apic: FAIL (10.25 s)
smp2.virtio_net.CustomGuestLinux.unit_test_kvmctl.emulator: FAIL (10.25 s)
smp2.virtio_net.CustomGuestLinux.unit_test_kvmctl.hypercall: FAIL (10.25 s)
